1	Available	Available	JJ	O	available	amod	2	1	['P1,660 81 811 110']
2	online	online	NN	O	online	_	0	1	['P1,821 81 925 110']
3	at	at	IN	O	at	_	0	1	['P1,935 85 966 110']
4	www.sciencedirect.com	www.sciencedirect.corn	NNP	O	www.sciencedirect.com	prep_at	2	1	['P1,976 81 1371 110']

1	oy	8C	NN	O	oy	_	0	2	['P1,790 168 1241 259']
2	:	I	:	O	:	_	0	2	['P1,790 168 1241 259']
3	+	ENCEDIRECT8	CC	O	+	cc	4	2	['P1,790 168 1241 259']
4	PALAEO	PALAEO	NN	O	palaeo	dep	1	2	['P1,1681 165 2025 232']

1	ELSEVIER	ELSEVIER	NNP	O	ELSEVIER	nn	6	3	['P1,139 296 356 329']
2	Palaeogeography	Palaeogeography	NNP	O	Palaeogeography	nn	6	3	['P1,522 303 752 334']
3	,	,	,	O	,	_	0	3	['P1,522 303 752 334']
4	Palaeoclimatology	Palaeoclimatology	NNP	O	Palaeoclimatology	appos	6	3	['P1,765 303 1014 334']
5	,	,	,	O	,	_	0	3	['P1,765 303 1014 334']
6	Palaeoecology	Palaeoecology	NNP	O	Palaeoecology	_	0	3	['P1,1026 303 1217 334']
7	211	211	CD	NUMBER	211	num	6	3	['P1,1229 304 1273 327']
8	(	(	CD	NUMBER	(	num	9	3	['P1,1289 304 1375 334']
9	2004	2004	CD	DATE	2004	dep	6	3	['P1,1289 304 1375 334']
10	)	)	CD	NUMBER	)	num	11	3	['P1,1289 304 1375 334']
11	345-359	345???359	CD	NUMBER	345-359	dep	6	3	['P1,1388 304 1510 327']

1	www.elsevier.corn/locate/palaeo	www.elsevier.corn/locate/palaeo	NN	O	www.elsevier.corn/locate/palaeo	_	0	4	['P1,1603 346 2026 376']

1	Using	Using	VBG	O	use	_	0	5	['P1,214 451 381 516']
2	GIS	GIS	NNS	O	gi	dobj	1	5	['P1,408 452 514 502']
3	to	to	TO	O	to	aux	4	5	['P1,542 458 593 502']
4	unlock	unlock	VB	O	unlock	xcomp	1	5	['P1,619 451 811 502']
5	the	the	DT	O	the	det	6	5	['P1,834 451 918 502']
6	interactions	interactions	NNS	O	interaction	dobj	4	5	['P1,945 451 1265 502']
7	between	between	IN	O	between	_	0	5	['P1,1291 451 1524 502']
8	biogeography	biogeography	NN	O	biogeography	prep_between	6	5	['P1,1547 451 1944 516']
9	,	,	,	O	,	_	0	5	['P1,1547 451 1944 516']
10	environment	environment	NN	O	environment	prep_between	6	5	['P1,255 534 620 595']
11	,	,	,	O	,	_	0	5	['P1,255 534 620 595']
12	and	and	CC	O	and	_	0	5	['P1,649 534 749 585']
13	evolution	evolution	NN	O	evolution	prep_between	6	5	['P1,775 534 1036 585']
14	in	in	IN	O	in	_	0	5	['P1,1062 534 1115 584']
15	Middle	Middle	NN	LOCATION	middle	prep_in	8	5	['P1,1139 534 1339 585']
16	and	and	CC	O	and	_	0	5	['P1,1366 534 1465 585']
17	Late	Late	JJ	MISC	late	amod	19	5	['P1,1490 536 1611 585']
18	Devonian	Devonian	JJ	MISC	devonian	amod	19	5	['P1,1637 534 1908 585']
19	brachiopods	brachiopods	NNS	O	brachiopod	prep_in	8	5	['P1,718 617 1059 682']
20	and	and	CC	O	and	_	0	5	['P1,1087 617 1186 668']
21	bivalves	bivalves	NNS	O	bivalve	conj_and	19	5	['P1,1209 617 1440 668']

1	Alycia	Alycia	NNP	PERSON	Alycia	nn	2	6	['P1,626 740 768 790']
2	L.	L.	NNP	PERSON	L.	nsubj	3	6	['P1,787 742 828 779']
